Id,Category
0,3
1,10
2,10
3,9
4,3
5,3
6,9
7,10
8,0
9,2
10,2
11,0
12,5
13,10
14,5
15,4
16,9
17,4
18,5
19,9
20,3
21,5
22,3
23,3
24,9
25,3
26,10
27,5
28,8
29,8
30,5
31,9
32,2
33,2
34,5
35,2
36,5
37,10
38,10
39,2
40,6
41,2
42,2
43,2
44,5
45,1
46,10
47,3
48,3
49,9
50,10
51,1
52,3
53,8
54,3
55,8
56,5
57,9
58,6
59,9
60,5
61,8
62,2
63,3
64,10
65,8
66,2
67,9
68,4
69,10
70,5
71,5
72,5
73,8
74,9
75,7
76,3
77,2
78,2
79,9
80,0
81,0
82,9
83,8
84,6
85,8
86,4
87,4
88,10
89,9
90,8
91,0
92,7
93,9
94,0
95,6
96,1
97,2
98,6
99,10
100,9
101,5
102,8
103,8
104,0
105,9
106,6
107,5
108,9
109,3
110,5
111,5
112,4
113,3
114,9
115,4
116,9
117,9
118,9
119,5
120,8
121,5
122,3
123,0
124,10
125,8
126,5
127,8
128,10
129,9
130,5
131,3
132,3
133,0
134,2
135,2
136,3
137,10
138,10
139,0
140,8
141,5
142,5
143,5
144,9
145,10
146,5
147,8
148,2
149,8
150,5
151,4
152,9
153,10
154,10
155,1
156,2
157,2
158,8
159,2
160,5
161,5
162,5
163,5
164,8
165,2
166,5
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,9
175,2
176,2
177,10
178,8
179,5
180,0
181,8
182,9
183,5
184,5
185,9
186,5
187,5
188,2
189,4
190,1
191,3
192,2
193,5
194,0
195,5
196,8
197,9
198,4
199,9
200,9
201,2
202,8
203,7
204,4
205,5
206,10
207,9
208,8
209,9
210,3
211,5
212,2
213,2
214,2
215,0
216,10
217,0
218,9
219,4
220,5
221,2
222,2
223,7
224,5
225,5
226,9
227,9
228,6
229,4
230,7
231,2
232,7
233,2
234,1
235,9
236,2
237,10
238,4
239,6
240,5
241,3
242,8
243,9
244,2
245,2
246,0
247,9
248,10
249,5
250,9
251,3
252,2
253,2
254,5
255,0
256,2
257,9
258,5
259,10
260,10
261,8
262,8
263,10
264,5
265,9
266,1
267,0
268,0
269,9
270,4
271,5
272,8
273,5
274,0
275,10
276,9
277,2
278,5
279,9
280,9
281,9
282,9
283,0
284,10
285,2
286,2
287,4
288,3
289,10
290,9
291,10
292,2
293,10
294,2
295,2
296,7
297,0
298,5
299,5
300,2
301,9
302,3
303,1
304,0
305,10
306,2
307,8
308,9
309,3
310,0
311,3
312,2
313,8
314,5
315,0
316,9
317,1
318,5
319,9
320,8
321,2
322,5
323,0
324,4
325,2
326,5
327,6
328,10
329,5
330,9
331,0
332,0
333,9
334,4
335,2
336,3
337,2
338,5
339,2
340,9
341,6
342,5
343,5
344,3
345,5
346,4
347,6
348,4
349,9
350,5
351,10
352,6
353,2
354,7
355,5
356,10
357,10
358,8
359,5
360,2
361,5
362,10
363,5
364,1
365,5
366,9
367,0
368,2
369,3
370,9
371,0
372,2
373,4
374,3
375,2
376,9
377,9
378,2
379,5
380,10
381,6
382,3
383,2
384,4
385,5
386,4
387,10
388,10
389,0
390,5
391,7
392,10
393,10
394,9
395,2
396,8
397,8
398,2
399,9
400,9
401,4
402,9
403,9
404,10
405,3
406,10
407,5
408,5
409,4
410,9
411,7
412,3
413,7
414,5
415,6
416,4
417,4
418,2
419,2
420,5
421,2
422,0
423,2
424,3
425,8
426,8
427,9
428,9
429,9
430,5
431,2
432,2
433,8
434,3
435,2
436,8
437,10
438,1
439,2
440,10
441,4
442,2
443,10
444,5
445,2
446,0
447,10
448,0
449,2
450,9
451,9
452,3
453,2
454,6
455,6
456,5
457,5
458,8
459,10
460,10
461,9
462,10
463,4
464,1
465,9
466,7
467,10
468,10
469,0
470,5
471,4
472,8
473,8
474,9
475,5
476,6
477,5
478,0
479,0
480,5
481,4
482,10
483,2
484,10
485,5
486,9
487,9
488,5
489,9
490,4
491,3
492,7
493,2
494,2
495,2
496,8
497,3
498,2
499,10
500,2
501,9
502,5
503,1
504,4
505,6
506,5
507,10
508,10
509,10
510,2
511,6
512,9
513,4
514,4
515,2
516,9
517,9
518,5
519,3
520,5
521,3
522,7
523,9
524,5
525,8
526,9
527,9
528,2
529,8
530,4
531,3
532,0
533,9
534,7
535,10
536,8
537,0
538,8
539,5
540,2
541,9
542,5
543,0
544,9
545,8
546,0
547,5
548,3
549,10
550,9
551,8
552,8
553,0
554,4
555,8
556,2
557,5
558,9
559,2
560,7
561,9
562,5
563,8
564,0
565,4
566,5
567,1
568,5
569,3
570,9
571,5
572,10
573,5
574,2
575,5
576,2
577,0
578,1
579,0
580,9
581,5
582,9
583,9
584,3
585,10
586,8
587,2
588,10
589,5
590,4
591,5
592,4
593,5
594,2
595,9
596,0
597,0
598,4
599,4
600,5
601,10
602,2
603,6
604,5
605,9
606,6
607,10
608,5
609,3
610,5
611,2
612,2
613,8
614,5
615,10
616,8
617,9
618,0
619,9
620,7
621,3
622,4
623,5
624,3
625,5
626,3
627,2
628,9
629,6
630,0
631,3
632,2
633,2
634,9
635,8
636,9
637,9
638,5
639,3
640,10
641,3
642,9
643,4
644,1
645,3
646,7
647,2
648,5
649,5
650,7
651,10
652,8
653,5
654,2
655,5
656,5
657,5
658,9
659,10
660,8
661,6
662,10
663,9
664,9
665,9
666,0
667,2
668,9
669,0
670,4
671,9
672,2
673,5
674,5
675,0
676,3
677,2
678,5
679,2
680,2
681,10
682,5
683,8
684,2
685,0
686,10
687,3
688,10
689,6
690,2
691,9
692,2
693,5
694,2
695,8
696,6
697,8
698,10
699,9
700,9
701,2
702,10
703,0
704,1
705,10
706,8
707,5
708,5
709,9
710,8
711,8
712,6
713,9
714,0
715,4
716,3
717,5
718,8
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,5
729,4
730,8
731,2
732,8
733,5
734,4
735,5
736,3
737,0
738,5
739,7
740,3
741,10
742,4
743,3
744,2
745,5
746,2
747,2
748,6
749,8
750,5
751,2
752,5
753,5
754,5
755,2
756,8
757,10
758,9
759,8
760,2
761,4
762,8
763,8
764,2
765,3
766,2
767,9
768,5
769,10
770,2
771,4
772,8
773,5
774,3
775,8
776,8
777,5
778,5
779,4
780,4
